Ticker,Report Date,Act,Est
DISCA,2019-02-26,0.74,0.821
DISH,2019-02-13,0.638,0.665
DLR,2019-02-05,1.68,1.658
DLTR,2019-03-06,1.93,1.94
DOV,2019-01-29,1.43,1.288
DRE,2019-01-30,0.35,0.351
DRI,2019-03-21,1.8,1.746
DTE,2019-02-07,0.91,0.933
DUK,2019-02-14,0.84,0.891
DVA,2019-02-13,0.9,0.895
DVN,2019-02-19,0.1,0.301
DXC,2019-02-07,2.23,2.049
EA,2019-02-05,1.931,1.942
EBAY,2019-01-29,0.71,0.68
ECL,2019-02-19,1.54,1.538
ED,2019-02-21,0.77,0.75
EFX,2019-02-20,1.38,1.321
EIX,2019-02-28,0.94,0.955
EL,2019-02-05,1.74,1.546
EMN,2019-01-31,1.39,1.603
EMR,2019-02-05,0.757,0.659
EOG,2019-02-26,1.24,1.349
EQIX,2019-02-13,4.122,3.979
EQR,2019-01-29,0.84,0.858
ES,2019-02-20,0.727,0.755
ESS,2019-01-30,3.19,3.182
ETFC,2019-01-24,1.03,1.034
ETN,2019-01-31,1.46,1.432
EVRG,2019-02-21,0.069,0.255
EW,2019-01-31,1.17,1.17
EXC,2019-02-08,0.58,0.57
EXPD,2019-02-19,1.02,0.851
EXPE,2019-02-07,1.24,1.062
EXR,2019-02-20,1.22,1.202
F,2019-01-23,0.3,0.3
FANG,2019-02-19,1.21,1.581
FAST,2019-01-17,0.3,0.301
FB,2019-01-30,2.38,2.183
FBHS,2019-01-31,0.86,0.933
FCX,2019-01-24,0.11,0.176
FDX,2019-03-19,3.03,3.117
FE,2019-02-19,0.5,0.469
FFIV,2019-01-23,2.7,2.535
FIS,2019-02-12,1.6,1.584
FISV,2019-02-07,0.84,0.854
FITB,2019-01-22,0.69,0.664
FLIR,2019-02-13,0.62,0.597
FLS,2019-02-20,0.58,0.58
FLT,2019-02-06,2.78,2.718
FMC,2019-02-11,1.69,1.481
FRC,2019-01-15,1.288,1.227
FRT,2019-02-13,1.57,1.564
FTI,2019-02-20,-0.09,0.402
FTNT,2019-02-06,0.59,0.519
FTV,2019-02-07,0.91,0.85
GD,2019-01-30,3.07,2.985
GE,2019-01-31,0.17,0.222
GIS,2019-03-20,0.83,0.689
GL,2019-02-05,1.56,1.563
GLW,2019-01-29,0.59,0.571
GM,2019-02-06,1.433,1.224
GOOGL,2019-02-04,12.81,10.856
GPC,2019-02-19,1.35,1.315
GPN,2019-02-13,1.33,1.322
GPS,2019-02-28,0.72,0.688
GRMN,2019-02-20,1.02,0.8
GS,2019-01-16,4.83,4.529
GWW,2019-01-24,3.96,3.596
HAL,2019-01-22,0.41,0.368
HAS,2019-02-08,1.33,1.705
